"","Username","Reviewer_Date","Reviewer_Content","Ratings"
"1","vangelisj","7 May 2020","We have to wait almost six years to see the conclusion of an epic story! How the animation since the first season improved and how the characters were developed until now! It was beautiful and the final scene was simply sublime! 👏","
            9/10
            "
"2","A_Kind_Of_CineMagic","8 October 2020","Clone Wars starts out as seeming like a mostly pretty lightweight bit of family entertainment with touches of the more exciting and more serious aspects of Star Wars. However, it develops to be a hugely powerful and astoundingly high quality addition to the overall story.The animation gets better and better as it goes along and is absolutely stunning in later seasons.The storytelling manages to totally transcend an animated 'kids show'. It becomes WAY more than that. There are heart poundingly exciting episodes and heartbreakingly moving stories as well as deepening and strengthening of the whole saga by the clever and wonderful storytelling of this show.Yes there are quite a few fillers along the way which are chucked in as light relief but the serious and dark stories that grow throughout the 7 seasons are phenomenally strong and superb quality.This stands easily alongside the best movies as great Star Wars. The writing and voice acting are terrific while the action and animation is amazing.","
            10/10
            "
"3","johnrider-55139","12 February 2020","Here is a full analysis of the show season by season.Season 1:
Extremely underwhelming start for a show I've heard so much about. The animation is pretty good for a TV show, but that's about it. The episodes are very straightforward, have no real consequences, and more often than not seem to be like moral anecdotes for kids. Very disappointing.
Rating: 5.0/10Season 2:
Definitely some improvement but still a long way from anything ""good"". It is still standalone episodes, very repetitive, and apart from a little better world exploration, the show seems to be headed nowhere.
Rating: 6.5/10Season 3:
All of a sudden, the show entirely changes its tone. This is no longer a kids show, more like PG-13. The animation also improves greatly. From episode 1, we are given a much more compelling narrative. It's no longer standalone episodes, we now have story arcs. Longer arcs means more time to develop the story, added depth to characters, and much more in-depth world building. This show finally seems to be going somewhere.
Rating: 8.0/10Season 4:
This is where the show becomes just amazing. We feel The Revenge of The Sith gradually being set up. The stories are getting darker and grittier. What's best is the narrative is no longer black and white. We are shown the war from the perspectives of those we have so far only called ""villains"".
Rating: 9.0/10Season 5:
Another amazing season. Like I said, after season 4 the show reaches a very high standard and stays there. Although there are some boring arcs, the main story fully compensates for it. I will not go into too much detail, in fear of spoilers.
Rating: 9.5/10Season 6:
Slightly, only slightly, worse than season 5, which for me is the absolute peak of this show. It still has its fair share of good story arcs and sets up many events of Episode 3.
Rating: 9.0/10Season 7:
Season 7 has 3 story arcs, of which the first is pretty decent, and the second is catastrophic. However, the final arc of 4 episodes is something in itself. It is deserving of all the great reviews that it is receiving and more. By playing into episodes 3, it in a sense redeems the prequels, but I will not say much about it to avoid spoilers. Besides, Disney's graphics overhaul is simply amazing, and makes the show so much more fun to watch. A perfect season and show ending for me.
Rating: 10.0/10Thoughts:
An amazing show which I would recommend everyone to watch. However, if you have less time/patience, I'd suggest skipping the first 2 seasons, and soke arcs of the coming seasons (just check the episode ratings to know). This show is a great filler that takes place between the events of episode 2 and episode 3 of the prequel films. It adds so much more relevance to the events of episode 3. Viewers' biggest problem with episode 3 was how it felt rushed. Just watch Clone Wars and it will all seem to fit in place.Salient Features:
1. Humanising the Clones:
The films did little justice to the clones, who were treated quite like droids with the exception of Obi Wan and Anakin. This show shows their human side, their psychology during the war, and adds uniqueness to each clone.2. Ahsoka:
I will not say much to keep this review free of spoilers. All I can say is, Ahsoka's character development is at par with some of the best I've ever seen. It's a real pleasure seeing her grow from a unbalanced padawan to a well trained Jedi Commander.3. Dark side:
This show also portrays the war from the perspective of the siths, somewhat humanising them, and giving us more clarity as to their decisions.4. Bounty Hunting:
Even the bounty hunters aren't two dimensional characters who only care for their bounty. The show portrays bounty hunting as a respectable job, and displays the code of honour which exists between them.TL;DR:
The show is a solid 10/10 for me, and a worthy addition to the Star Wars Saga. A must watch for all Star Wars fans.","
            10/10
            "
"4","Vic_max","24 October 2008","I actually stumbled on this series by accident - and what a nice surprise! While I did not see the associated animated film (because of the very bad reviews), this show seems to have some very good things going for it.For a TV series, the visuals and sounds are really great. The colors, scenery and style of ""3D"" animation are really appealing. And the sounds (including character voices) are pretty well done too.Characters: It took me three episodes to get comfortable with the new look of the main characters. It was a bit awkward watching them at first, but now it's OK. One slight issue I still have is that they sometimes remind me of characters from a kid's show than a general audience show.But that's OK - it's really great to have 30 minutes of good quality Star Wars story-telling each week. The force is with this show!","
            8/10
            "
"5","kaden_lewis","5 January 2022","I decided to watch Star Wars for the first time in March if 2021. I wanted to watch it in timeline order, and watch all the cartoons as well. I am so happy I did. With the exception of Star Wars Resistance, they were great. But out of all the Star Wars I watched, I spent the most time with the clone wars. That is because it is so long, but it made me make a connection with the show, and some of the characters who aren't really in the movies. It is definitely my favorite animated show, and it is also one of my favorite shows all time.I loved so much about this show. I loved the characters, the writing, the animation, and the acting. Most of the characters in this show are characters from the prequel movies, with the exception of Ahsoka Tano. She made her debut in The Clone Wars movie as a young Padawan to Anakin. She developed over the span of 7 seasons, and 12 years to be some peoples favorite Star Wars character. She isn't my number 1 favorite, but she is definitely up there. She became so popular, she made a live action appearance in The Mandalorian season 2 episode 5, and is getting her own live action show that is a spin-off to The Mandalorian. Of course, characters like Anakin, Obi-Wan, and everyone else from the prequels were also amazing.I also have to give credit to the show runner, Dave Filoni. He had no experience with CGI animation coming into this show, and did amazing. Not only was the animation great, the writing of the episodes were amazing. The whole show involves the main characters doing crazy missions, and it all takes place in between ""Attack of the Clones,"" and ""Revenge of the Sith."" Until the final four episodes of this show that takes place during ""Revenge of the Sith."" A few seasons in, the writers started doing 'series of four.' It is four episodes in a row that are all one story. It is basically one long episode split into four. Some of the 'series of fours' were phenomenal. Especially the finales.Lastly, the acting in this show was amazing. This show used predominantly voice actors instead of their live action actors, and they were all perfect. Their tones and the way they spoke made it sound like the live action character. I have to give huge credit to the actors of Anakin, Obi-Wan, and Maul. Their performances in this show were phenomenal. Especially Maul. His voice acting in my opinion was better than it was in ""The Phantom Menace.""Like I said, this is my favorite animated show, and is one of my favorite shows all time. Everything from the acting to the way the characters developed together was just amazing. The ending of this show also couldn't have been written any better. I definitely recommend watching this show. I am extremely grateful that I did.","
            10/10
            "
"6","Come-and-Review","2 December 2014","This was a series I grew up with, but I'll try to stay objective with it.The animated series - can we say that? - evolved/grew up during the years. At the beginning it was really kid-friendly, but, years after year, season after season it started to be filled with quite gory/scary stuff I'd rather not show to a 6-7 years old kid. I don't think that's a negative side though, as this series managed to explain many empty points we had about either some events occurred in the movies, or the whole mysticism of the Force, a really good expansion of the saga -directly came from its inventor George Lucas - that helps fans understand better the star wars. As I already said, the series is not completely childish, and adults could enjoy it as well.Now, to the reason of why this didn't get a 10/10: the first season, and a few episodes we meet on the way that aren't really important story arcs. I must say that, despite season one is the only one I have on DVD, I don't really like it, has not many strong story arcs, as instead the other seasons have, also all seasons include several single episodes that are put just to fill the episode list. But yet this is saved by the absolute supremacy of the story arcs.","
            9/10
            "
"7","EarlGenesis","31 May 2020","The first two seasons of The Clone Wars are rather decent, but all of your interest will be completely captured once you begin S3 and onwards. The action is spectacular, the animation gets much better, the characters develop extremely well, and the story itself fits perfectly into the Star Wars story as a whole.","
            9/10
            "
"8","paul_haakonsen","12 June 2021","Right, well back in the day when ""Star Wars: The Clone Wars"" initially came out, I managed to sit through two seasons before giving up on the series. Why? Well, as much of a ""Star Wars"" fan as I am, then the animation and art style was just a bitter pill to swallow, and I never really been a fan of the Clone Wars era in the ""Star Wars"" universe.So I put the series to rest back then, but had to return to give it a second chance in 2021, as many people said that it got better with the later seasons. So I endured and sat through it. And true enough, you actually just have to get past the first one and a half seasons, then the series actually starts to pick up and improve greatly with each season. And especially seasons 6 and 7 were quite phenomenal.There are many, many different story arcs throughout the seven seasons, some with greater appeal and contents than others, of course. As it was to be expected from something running for seven seasons. So there is a great that that ""Star Wars: The Clone Wars"" actually holds something for just about any one in the audience.And I have to admit that I am glad that I returned to re-watch this and give it a second chance, because I was definitely missing out on a great many things, despite it being set in the Clone Wars era. And I also have to say that ""Star Wars: The Clone Wars"" definitely put Darth Maul in a whole new light for me. I didn't like him one bit when I saw him in ""Star Wars Episode I: The Phantom Menace"", but ""Star Wars: The Clone Wars"" brings so much story to his character and really flesh him out - pardon the pun - to be a much more interesting character than what you see in ""Star Wars Episode I: The Phantom Menace"".Sure, the animation and art style used in ""Star Wars: The Clone Wars"" still is something of an acquired taste, but I came to bear with it. But it was by no means something that would win me over if it came down to that.The series delves greatly into the different story arcs for a great many characters, with the likes of Obi-Wan Kenobi, Ahsoka Tano, Anakin Skywalker, Count Dooku, Padmé Amidala, Cad Bane, and even clones such as Rex and Cody. Luckily and thankfully the abysmal clown known as Jar Jar Binks wasn't an overshadowing character in the series, as he didn't have that many appearances.""Star Wars: The Clone Wars"" is definitely worth spending the time to sit down and watch. I happened to binge-watch all seven episodes over a course of a couple of days, and I was greatly entertained.My rating of ""Star Wars: The Clone Wars"" lands on an eight out of ten stars collectively throughout the seven seasons combined.","
            8/10
            "
"9","mixta110","13 October 2008","Well, after a sceptical start with the clone wars animated movie, the actual TV series is getting better and better. Slightly bumpy start however. (Droid voices????) But as the ""Shadow of malevolence storyline unfolds, it is clear that Star Wars is back in star wars territory. Great little storyline, and episode 3 is just true to the spirit of the original Trilogy and yet keeps with the clone wars setting. Episodes 4 & 5 are even better, and as a listener to the podcasts on theforce.net the interviews are brilliant too. The creators are aware of what we like and don't and they reassure us not to worry, as some very cool stuff is still in the pipeline. I even rewatched the clone wars movie again now its out on DVD and i like it 10 times better than i did before. I guess everything was new. I also found out that the movie was the first stuff they filmed for the series and that everything that has come since has been improved upon, and much has yet to be seen. I am looking forward to the episode i saw in a clip where we see a flashback of General Grievous become what he is now. Anakins character is actually likable now. And Asoka is less brattish than she was in the movie. Just a shame about the damn droid voices. Less is more sometimes eh! Well done George and the team. So far i'm loving it, and cant wait for each episode. Finally, some of us may actually understand what GL was trying to achieve with the prequels. The kids love it too. I hope it gets a little darker though, or at least remains at the level of the malevolence storyline. Cant wait for the LIVE ACTION show next year too, but I hope that one is gonna be dark and for the fans, and not for the kids. (As promised.) Then, i think balance will be achieved. Clone wars for the kids, fine. But if they make Star Wars TV for the fans, all may be forgiven.Oh, one last thing... Needs a little bit more John Williams score. Pleeease??? _______________________EDIT: 2010OK, series 2 is now half way through.... WOW!!!! It has just changed completely, series 1 was great with teathing troubles as I stated in my review. But series 2, THIS IS STAR WARS!! And its a shame to say it, especially as i didn't mind the prequels too much, but I wish they would re-do the prequels in this animated style. 100 times more character than the live action. I now LOVE this show. My only gripe now is with the Cartoon network, who keep skipping weeks of showing it. People keep missing it and viewing figures will drop, and its the show that will get the blame yet its because its hardly aired consistently. This has happened with LOST and other great TV. People miss it and then forget about it. TV is based on viewing figures, so let us view it damn it!Keep em coming and thank G for the darker more adult turn of series 2.","
            10/10
            "
"10","POIguy","15 April 2022","When The Clone Wars is at its best, it is quite possibly the best the Star Wars franchise has to offer. This show has some epic arcs, such as the Umbara arc, the Seige of Mandalore, and the Mortis arc. Storylines like these expand the lore of Star Wars and offer engaging and thrilling stories to latch onto. Unfortunately, the Clone Wars also has some not so thrilling arcs (basically anything to do with Jar-Jar or driods). I'm not sure why these arcs were put in here, but they ruin the show from being a 10/10. Other than these boring arcs, the rest of the show is fantastic. It's a show that's great for both kids and adults which is quite rare.","
            9/10
            "
"11","joseph_the_broseph","29 August 2018","Before I start, let me clarify: I am not a six-year old writing this based on watching seven episodes from Season 1. This is my favorite show and I have memorized every episode. So, let's get started!
This show is simple- it is, to put it in concise terms, a series of events happening between episodes 2 and 3 of the prequels. 
This show shows the progression of how the writers and animators weren't afraid to try new things after a while. 
Season 1 of this show is sort of dull. As I said, the creators weren't very brave at this point, and didn't really know what crossed the line. Soon, of course, they found out: THERE IS NO LINE. There are a few good episodes in the season, getting better as it comes to a close. But overall, it was just flashy lights and big noises- your typical kid's show. 
Season 2 is where they started accelerating, in terms of creativity. They made their first four-episode story arc, and made some pretty darn good standalones. ""Cat and Mouse"" was a particular favorite of mine.
Season 3 is where they really started putting some good stuff into the show. There was a lot more commentary, and the show got pretty intellectual and actually got older audiences thinking. The last few episodes of the season are where they really show their transition. The animators changed their style, and a lot of things changed, but I loved the change in the Jedi's clothing style and the beginning of this new, smarter, creative show that the people behind this masterpiece had just started.
Season 4 is where it gets great. What surprised me was the amount of violence. Clone Wars was no longer a show for seven year olds. Now it was a show for twelve and thirteen year olds, and for the parents watching too. They came up with some great stories, including ""Obi-Wan goes undercover,"" ""Water Wars"", ""General Krell,"" and of course, the revival of Darth frickin' Maul. That's right. They bring back Darth Maul. 
Anyway, Season 5 was all four-part arcs. (On the DVD version, Revival is right before Shades of Reason.) These were very interesting stories. The first arc, for example, is a strange meld of the American Revolution and the Vietnam War, as Jedi go to train people on another planet, who are looking to overthrow their tyrant ruler, King Rash. Sometimes, the arcs get too lighthearted (Like the one with R2-D2 and the frog colonel) but overall it was a good season, with an astonishingly beautiful, sad, and open ending.
Season 6 is where they just went nuts. Clone Wars was not on TV anymore, so they could do whatever they wanted. And the episodes in Season 6 went from Fives investigating something in the genetic code of the clones, to Anakin and Obi-Wan looking for clues as to the mysterious death of Sifo-Dyas. Great season. 
Anyway, Animation: Sort of lazy and generic at the start, but it sure got better. 18/20Plots: Started off bland, but got interesting very fast. 19/20Characters: Fleshed out over time, they were actually given real development. 19/20Soundtracks: At first, they were all very similar, and then they made themes, and started using an orchestra and made some music very satisfying for the 
ears. 18/20Voice Acting: Good. 17/20Overall rating: 91%","
            8/10
            "
"12","poseyfan","12 June 2022","I was 5 when the first episode came out. I remember watching it at my grandparents house, then watched all subsequent episodes until it ended temporarily after season 5. I would wait earnestly for Friday night (or Saturday morning for season 5) for every episode to drop. I am glad to say that this is the show I grew up with.And then what do you know? They come back and finish it! The last arc of season 7 is something else.Thank you Dave Filoni, cast and crew for the amazing childhood memories.","
            10/10
            "
