"","Username","Reviewer_Date","Reviewer_Content","Ratings"
"13","zaidmnomani","25 July 2020","Star Wars the Clone Wars is set in the three years between Attack of the Clones and Revenge of the Sith. The story is about the intergalactic war between the Republic and the Separatists, also known as the Clone Wars. Oddly enough it is quite important in the Prequel trilogy and and was even mentioned in A New Hope, but never fully explored. I'm glad it wasn't though, because otherwise we would never get this fantastic show.Allow me to explain. It is generally agreed that although the prequels have interesting ideas and unique concepts, the execution is never fully delivers. Order 66, Palpatine as a traitor, Darth Maul, Anakin's fall to the dark side, all these ideas sound good on paper, but with the poor acting, bland CGI, awful dialogue and characters, the movies become really mediocre. However, with the Clone Wars show you understand what George Lucas was trying to go for.For example, Anakin is really likable here. He takes risks and is rebellious, but this usually pays of in the end. His main goal is to save and help as many people as possible, and put an end to the Clone Wars. He's usually quite laid back and overconfident, but not in a bad way. In the movies he's an annoying brat, but here you actually grow to care for him. After a while you remember this is the man who will become Darth Vader, and the Clone Wars makes his eventual fall all the more tragic. There are small hints and moments which foreshadow this, especially when Anakin loses his temper.Obi Wan Kenobi also gets a better treatment. Obi wan and Anakin have a best buddy/brother relationship over the course of the series. Which again, makes their eventual battle in Revenge of the Sith more heartbreaking. (This show is canon, in case you were wondering). Also, Obi wan is usually in the best story arcs. He's the only character who's every appearance is accompanied by an excellent show.There are plenty of other characters that are further developed. Padme has a fully fleshed out personality, and her views and ideals are are clear. Many of the Jedi Council members such as Yoda, Plo Koon, and Mace Windu are all give at least one arc which develops them more. Once again, it makes their deaths in Revenge of the Sith heartbreaking. Honestly, it should be legal requirement for every Star Wars fan to watch this show before Revenge of the Sith, because it improves that movie by 100%.The story line is not linear, which means most of the seasons have four or five self contained arcs with their own beginning , middle and end. This makes it extremely easy to start wherever you want, watch in any order, and skip episodes you don't like. Not all the stories feature Anakin and Obi Wan either. Some have Ahsoka Tano as the main character, who goes from being an annoying padawan to one of the the most iconic Star Wars characters of all time.Darth Maul returns from the dead in the Season 4 finale. I must say, he is the best thing to happen to this show. His burning hatred for Obi Wan Kenobi and desire for revenge are portrayed by the excellent voice acting and superb dialogue. The arcs he appears in are the highlights of the Clone Wars. I know I sound like a broken record at this point, but the Clone Wars once again improves upon the prequels by taking a generic and one note villain and turning him iconic.Some episodes feature just clones, which are some of my favorite. Over the course of the show the clones try to deal with their origins and become more independent. Captain Rex and Commander Cody are two of the most developed clones of all. Their is usually a really nice vibe in the clones only episodes. They are all voiced by the same actor and all look identical, and yet they always feel distinct and human. They encapsulate a lot of the recurring themes and and are the heart of the show.Speaking of themes, the Clone Wars has a lot to say on that front. Politics, Economics, the consequences and benefits of war are all here. If you ask me, the best kids shows are the ones that incorporate mature themes and explain them for kids to understand. They have something to say. If I ever have kids, I'd want them to watch this show, because it presents many different lessons that are not usually found in any media.The animation may be a bit jarring in the beginning, but it heavily improves every season. By the time we reach Season 7, the CGI is on the level of a movie. Because it is animated, the episodes can feature a wide variety of locations, species and battles. The world building is insane. The Star Wars galaxy has never felt bigger. Every planet has something unique and memorable about it, with it's own set of beliefs and idealsBecause of the episodic nature of the show, a wide variety of stories are told. Star Wars has so much more potential than the usual Empire vs Rebellion conflict, but this is the only form of Star Wars media that fully captures this potential. It explores the possibility of a galaxy in war, and the consequences of it as well.One thing that stopped me from watching this show until now is that it got cancelled In 2014, Star Wars The Clone Wars ended abruptly with Season 6, with many arcs left unfinished. But that is no longer a problem. The Clone Wars was brought back for it's final season just a couple of months ago. Now, no Star Wars fan has an excuse not to watch it. You can go through it whenever and however you want. It is a must watch for anyone who is remotely interested in the saga, for it is Star Wars at it's finest.","
            7/10
            "
"14","BadgerStorm4345","12 February 2020","While it's true that Season 1 and the Clone Wars Film were hard to get into, each Season of Clone Wars felt more and more engaging to a point where Seasons 3-6 gave us many of the most classic Star Wars we remember today. Excellent Villains, Excellent Heroes, Perfect Tie In's and expansions on the Star Wars Universe, Gorgeous Animation, Excellent Voice Acting and some of the most passionate and well crafted writing of anything else like it makes this one of the greatest animated TV Shows of all time.","
            10/10
            "
"15","Med-Jasta","18 April 2020","It looks like Star Wars, sounds like Star Wars and feels like Star Wars. I was surprised to see that someone else actually understood Star Wars, because so far no one other than the creator has. Upon watching the special features I learned why. George Lucas is involved with everything. Go figure.The thing this show does best is not tie itself down to connecting with the movies. In Revenge of the Sith Obi, Anakin and Grevious meet for the first time. In the show they see each other all the time. Same with Dooku. In the movie they haven't met since Attack of the Clones, they see each other and fight all the time.Also since they've established that reality and the fact that it's a cartoon, it allows me to accept things that wouldn't fly in the movies. Like Darth Maul coming back. I love Maul as much as everyone else and I'd love to see more of him but he's dead. If the dismemberment to the abdomen didn't kill him then the fall certainly did. And there's absolutely nothing that could ever bring him back, not even the force. But since this is a cartoon, it's good to see him again.Anakin would've have an apprentice but it's a good story and Asoka is great. And the really genre specific stories, like zombies and monster stuff wouldn't fly in the movies but are cool here.The idea of a clone war show is great from the get go because in the movies we don't really see them. And General Grevious is so cool and we hardly get to see him so it's nice to have a show featuring him so heavily, doing all the things I was hoping to see in 3.The emphasis is on the action and it's so cool. They do a very good job of supporting themes and character traits from the movies.I like that not ever story follows our main guys. Sometimes they aren't in it at all. It's nice to follow those background Jedi that look so good and hardly have any screen time.After the movie this show gets dark pretty quick. A lot of cold blooded murder and scary monsters. That's what's so good about having a cartoon that isn't on Disney.One thing that I really love as a lifelong Star Wars fan is that they use unused ideas from the other movies. Repurposed or exact, it's great to see these ideas on screen. Having endlessly looked through the art books and hoping that there was only someway to use these great shelved ideas, I was very surprised to see them.I've watched it several times because it's so good.Unfortunately Disney cancelled it because they don't want anything to do with the prequels or a show not on their Network, leaving us without a conclusion. I don't think they really care about Star Wars, do you? Only money. That was strike 1. They dropped this successful show without an ending to make Rebels? That show sucked. And why? No Lucas.They've brought it back now but too late Disney, you've already burned this bridge. They brought it back because they need to do something to bring the fans back. They cancel it for no reason only a few years later to bring it back to appease the fans because they realized they screwed up? Their own ""original"" stories aren't pulling in fans? What a surprise.","
            10/10
            "
"16","martimusross","2 September 2021","Star Wars: The Clone WarsWell this just got better and better, personally I would have had a continuous narrative flow between episodes as we have seen how successful this approach is with The Mandalorian, even though this demands more of the viewer as there is scant recap, but to Star Wars ""nerds"" this is a joy!Also to vary episode lengths to cut the story by way of ""comas"" creates its own narrative impetus.Series 2 really stepped up, much darker, more complex, more depth, it was quite frankly brilliant! It just had more of everything with the best thing being comprehensively developed evil villains, intrigue and use of the force. I even think the animation was more creative. The change between series 1 and 2 is so great is quite inexplicable.Series 3 we had Zero Hut this was inspired from start to finish what a joy!Throughout the whole thing we have one terrible character, Padhme amadala, she is a mixture of condescension, passive aggression and negativity, she presents herself as a principled politician but she just latches onto one woke trope after another, usually at the expense of ridiculing men. It is rare to see writers so misunderstanding ""female empowerment"", instead they portray a bully in competition with men rather than the rounded and conflicted female character we see in Asoka Adana In the original movies this character injects humour, the onerous weight of responsibility and romance, they should have stuck with this! In series 3 episode 11 this culminated in arguing that the war against the Separatists should be conceded as the money spend on defending democracy should be diverted to the welfare state. Without grasping that democracy is suspended when a sovereign state is threatened as war cannot be conducted by committee, and without defending yourselves against tyranny there will be no state to speak of. It really was quite idiotic!Series 4 -7 started to show the war from different perspectives, we had an episode led by droids, we had an episode led by clones. This really was a very good idea and really kept the show fresh and allowed more in depth back stories.Overall this is beyond description in its reinvention, it characterisations, it story lines, the scoring, the animation. When you look to see how far animation has come in recent years and it's elevation to near parity with ""real actors"" it's mindblowing!I would not cancel this series but have several separate teams working on the Bad Batch, Clone Wars as there is room for both and more and fans are gathering to this work. I think better awareness is needed as I only recently discovered it.","
            10/10
            "
"17","alindsayal","23 December 2021","After many years and a big buildup we have finally seen the 7th and final season of The Clone Wars and I have finished the season and here is my review. The premise of the season sees Ahsoka attempt to move on from her exile from the Jedi while Captain Rex attempts to prepare his troops for the end of the war.Main Character
Even though the first few seasons focused on Anakin Skywalker in my opinion the real main character of the Clone Wars is easily that of Ahsoka as we see her story really develop through our eyes. From the movie where she is introduced as this young padawan to this season where she is more of this conflicted person who isn't exactly sure of her place in this war but also wants to help people and do things the Jedi won't. Her character is so well done this season and I think the way her arc ends this season is done flawlessly and really gives a payoff for really 12 years of a character on this show.Supporting Characters
The other original character that gets a great story arc is that of Captain Rex. To see his characrter arc from the movie to now is enthralling. This season alone you see his character go through all types of emotions, I think the point if this show was to make you care about The Clone Troopers and I really cared about Rex this season and thought he had a really interesting story. Maul was a character introduced in The Phantom Menace but in my opinion he didn't become an interesting character till he returned on this show. His character is very menacing but he is a great opposite to Ahsoka and there stories are fascinating, they are both thrust into the limelight away from there masters and you see Mauls own plans and how they affect the story. Anakin & Obi-Wan are in this season less but they are well handled, ties to Anakin's eventual turn are still here and are heavily implied. The relationship between Anakin & Ahsoka is pretty heartbreaking here and again it feels like a worthy payoff for the show.Story
The show has two great story arcs in it, seeing Rex and The Bad Batch's story was great showing the development of Rex and how the clones really differ at this point. Then Ahsoka's character plot is fascinating, this could be as a bit of a spoiler but the show comes to the point of crossing over with Revenge Of The Sith and the way it is handled is truly emotional. Plus with it being the end of the show is has to have a satisfying ending which this show truly does and it is handled perfectly. Though I have an issue with the story being the middle story with Ashoka hanging out with the Martinez sisters, as much as I like Ahsoka as a character I just didn't care for this story and it takes up way too many episodes with very little payoff in my opinion.Script
The script is brilliant this season, the drama feels much more mature this season and there are some truly gutwrenching moments that even though we have been expecting them I thought they were handled brilliantly. Also when used the humour is better this season and makes the characters feel much more human and a more complete package for the characters which previous seasons have lacked.Style
The style of the show is the best ever for sure, it is crazy to see how the animation has developed from the movie to now. The characters feel more alive and the action scenes are brilliant to watch. The lightsaber fight between Maul & Ashoka is memorable and a great moment which will stand out for many years to come. The show also benefits from having only 12 episodes and it flows much better then any of the other seasons for sure.Overall
Overall, this is easily the best ever season of the show it ends brilliantly and it really makes the 12 year journey feel worth it and this is easily one of the best Star Wars things around and I think may lead to Star Wars trying to nail more animated shows for sure.Rating - 9/10.","
            9/10
            "
"18","WeAreLive","22 August 2017","I finished watching the awesome Star Wars the clone wars yesterday and I have got to say the force is strong in this show.This show has pretty much every thing what a Star Wars fan would want, fight scenes, likable characters and of course different story arcs to keep you interested my favorite ones are when R2 D2 gets kidnapped by the separatist, the arc where the clones and the Jedi to protect a clone base and the one where Fives discovers his clone trouper chip. What more could you want?And it doesn't stop there the animation is awesome and the voice actors are incredible we even get guest stars like Nolan North, Liam Neeson, Seth Green, Gideon Emery, Simon Pegg and much more.At first, when I saw this back when I was younger I used to find it boring and annoying. But now I don't think that any more I think this an incredible show which needs a season 7.I would recommend this show to new and old generation of Star Wars fans.","
            10/10
            "
"19","Jonah_R","21 May 2020","I am writing this review now after the show has ended with the seventh season. And all i can say is wow...
I am so glad that I started watching this show, not only because it is fantastic on its own, but it also improves the prequels greatly.
I mean I have never hated the prequels and I actually like them, because I grew up with them and I still remember beeing 8 years old and seeing Revenge of the Sith in theaters which was just mind blowing for me back then.But back to Clone Wars.
I must admit that the first two seasons are not that good as the rest of the show. They are more kid friendly, the animations werent that good during this time and some of the plot lines werent that fascinating. But still, the first two seasons had their moment. Season 3 slowly started getting better and as soon as season 4 started, I could not stop watching the episodes. I got so hooked on it just binged through it.But what makes Clone Wars so good?
It simply expands the Canon, it gives us more information about the world of Star Wars, the Force, and a lot of characters who didnt get the opportunity to shine in the prequels get now the treatment they deserve
Characters like Captain Rex, Kit Fisto, Padme, Plo Koon, Mace Windu, Ki-Adi Mundi, Jar Jar, Grievious, Count Doku and a lot of others now get a real personality or are getting improved.
And of course Anakin, the Chosen One. He is the one who profits the most of Clone Wars. I get why a lot of people dont like him after the Prequels, but now... He is an amazing character in the show and you cant stop but love him. He gets so fleshed out that seeing him turn to the Dark Side is even more painfull now.
And the Clones in general. In the movies they are more like mindless soldiers but now they all get a personality and they are beeing developed into fascinating characters and we get now quite a lot different clones which are all different and you simply fall in love with them.
We also get a new look on older characters like young Boba Fett, Obi-Wan or yoda which is nice.
And what was really important to me, we get a closer look on how Palpatine was able to manipulate the whole Galaxy and rise to power.We have amazing plot lines that spand over multiple episodes. Some of them focus on politics and palpatines rise to power, other focus on the clones and are like a Vietnam war movie. There is something for everyone.On top on all of that we also get a lot new characters which are brilliant. First of all of course new adorable clones and most importantly. Ahsoka Tano, a character which I love. I dont want to take to much away, but there are really so many new characters which improved the universe and were responsible for many great plotlines. And also one of my favourite characters rises up from the dead and I jumped up with tears of joy when I saw him...And he ist not even wasted, but due to him we get some of the best Star Wars Storys ever, especially in the new season 7.And if we are allready starting to talk about season 7. The first few episodes were ok. nothing special... But the last four episodes of Clone Wars are killing it and are some of the best Star Wars moments ever.
And watching Episode III now feels like a totaly new experience which hits way harder then before.I could endlessly go on and on about why I love Clone Wars, but I think I made my point clear.
So I would definitly recommend this to every Star Wars fan who wants to now more about the world and the characters. You wont regret it","
            10/10
            "
"20","amiranda-39274","11 February 2020","I wasn't a fan of star wars when I was a kid, but to be fair I wasn't really into sci fi stuff much either. But when I was 17 years old, I was staying at my grandparents house for an entire weekend, I was just watching tv when I came across a star wars marathon, it was currently showing the ending of episode 1, the duel of the fates battle, and I was instantly hooked, I sat there and watched all the prequels and eventually the originals, and my life was forever changed. I then found out there was actually a tv show about the prequels, and I watched it too. All these years later I am now a mega star wars fan, I have read most of the books and comics, ive seen all the movies and shows, and ive got to say ( if it already hasn't been said enough) this tv series is some of best star wars media in existence, perhaps even better than most of the movies. Despite being animated, this show deals with powerful themes, including good vs evil, war, politics, slavery, spirituality and identity. This show is not just for children, but for anyone who wants to see a true epic space opera.The story: Now while the prequels were fun movies, I will admit they have many flaws that keep the story from being truly great, and this show fixes that, it provides the viewer with the concept the prequels were trying to tell, but elevates it. The show is an anthology series, so there multiple battles that take place across multiple worlds, and the concept of each individual battle being apart of a full galactic wide war taking place across several years is just as grandiose as you can get. The humor used never messes up the tone, but there is still a lot of lighthearted moments. No not every episode is great, the first 2 seasons are more kid friendly, but the majority of episodes are very complex and intense, in fact past season 3 the show becomes dark. The political scenes in this show really make this feel more than just an action show, the politics are engaging and you can just see how palpatine is playing both sides of the war. The truly tragic part of this story is that it will end with the republic and the Jedi being killed, but you know what its an epic story, and each episode really plays a part in constructing this fantastic narrative that inevitably leads to the events of revenge of the sith.The Battles: Most battles look like their renditions of famous battle sequences from famous war movies such as black hawk down, saving private ryan and Apocalypse now. Each battle is just epic in scope from land, to underwater to in space. Now as much as I love blaster fights, I am truly enamored with the lightsaber fights, the way each fight is done is truly stunning and done in a way that none of the live action lightsaber fights can even compete with. Despite some earlier fights looking clunky, later season fights look almost like realistic sword fights, with technique and style, not to mention the addition of force powers, there is no other sci fi battles that can amaze me as much as these. Also what gives each of these battles depth and tension is that there is death, not just off screen either, we see people get killed in truly spectacular and tragic ways. The best fights are totally rewatchable, that makes this show so much more mature and in some instances even compete with the likes of game of thrones in violence. The best part about the action in the show is that unlike so many other action shows or movies, its not just action for the sake of action, but for the sake of complimenting the story, so each battle is truly meaningful.The characters: Now what makes this truly work is its large cast, which if done wrong, could have ended badly, but you know what, almost every character you meet is likeable and badass in their own way. The jedi, clones and even the villains are given true character and receive impressive development that make them memorable and just amazing. If you don't already know, Ashoka tano is one of the best new star wars characters, and that's because of good development and great writing. And as for the already established prequel characters such as Anakin skywalker and Obi wan Kenobi, they are improved drastically from the movie versions, and become the best characters in the show to the point you dread the day that they will fight each other on mustafar. The characters are done so good, that even the most obscure character deaths will make you feel some sorrow, because of stakes and emotions done right. The dialogue is excellent and compelling, its so good that it really fleshes out the characters, and makes the story very engaging.The animation:
While I wasn't a fan of the CGI animation in the beginning, its grown on me. However the earlier seasons have very clunky animation and can be off putting, but after season 3 the animation only improves and becomes downright beautiful to look at. The animation eventually improves so much in the later seasons that backgrounds and set pieces look almost cinematic and jaw dropping.The Force: The force is truly something unique, as well as its users, the jedi and the sith, this is what separates star wars from other sci fi content. As much as I like clones, rebels, droids and other soldier content, its the jedi and the sith that made me a star wars fan. I am a sucker for any lore I can find about the force and its users. And this show provides a lot of philosophy and lore on exactly what the force is. This show explores the concept of the force and how it provides power to the jedi and sith, making it feel like a tangible living thing.This show truly improve the prequels, and shows us the true clone wars, and the potential star wars possess. Id like to take the time to thank Dave Filoni, and the creator himself, George lucas for bringing this show to existence. This show is truly something to behold, granted its not a perfect show ( but which one is ) all that's important is that this made me love the universe of star wars even more. while I don't think its essential, I feel if you want the most fulfilling star wars experience ever, you should watch this after episode 2 and before episode 3 to have the story feel as grandiose as possible and trust me you wont be disappointed. This show is so rewatchable and every watch feels fresh every time. What's most exciting is that after a 6 year hiatus, the seventh season was made, ad it completes the show perfectly tying it to the events of revenge of the sith, and it is quite possibly one of the most satisfying yet bittersweet tv finales ever made. A quote was said in the trailer for this last season, ""clone wars is saved"", but Id prefer ""STAR WARS is saved"". May the Force be with you all.","
            8/10
            "
"21","busstwilliam","21 April 2020","Amazing arcs , new characters , banter , amazing...","
            10/10
            "
"22","matthewstanton123-857-954811","16 January 2020","The clone wars movie put me off watching the tv show but i thought i give them ago and purchased the blu ray complete box set.
Let me tell you the clone wars is unbelievably good and it is all cannon
Palapatine , obi wan, anakin,yoda,mace plus all the jedi you only get a short glimpse of in the movie are in this show,
even characters from episode 4 ,rogue one and rebels
This is not a just kids cartoon
80 % of the time this looks like it was made for adult fans .
The only reason i gave it 9 is the 20% of the time when they do the childrens episodes ie silly creatures and driods adventures but nevertheless still good.
Some episodes beat the newer 3 movies .
Tons of action , great story, and great characters plus you get to fill in the missing bits from the films in particular grievous","
            9/10
            "
"23","magnus_nilsson99","6 January 2021","Clone Wars has its UPS and downs like a rollercoaster . For exanple Often they use force pull/push as a diciding factor for the character succeed or not . This is really lazy writing and there is more plot holes that is strange and destroys som of the fun for me ! The series takes off in a good way in season 4 , before that it was OK. The end was so awsome the 4 last episodes, that I wish for a remake with the same cutting and camera shots . Here Star Wars really shines and I Got goosebumps in the last shot 10/10 !!","
            7/10
            "
"24","crunchg","3 October 2008","I was apprehensive about seeing the Clone Wars movie, but after it pleasantly surprised me, I was definitely looking forward to this TV show. After watching the first two episodes aired tonight on Cartoon Network, I can safely say my anticipation was rewarded. Judging by these two episodes, I can see that a lot of work has been put into this series, and it's not just something for the kiddies to watch. It was watching a mix of the humanity of original trilogy with the action of the new trilogy. It's a great show, and definitely worth a watch for Star Wars fans of all ages. Just give it a try, you're bound to love it.","
            9/10
            "
"25","m-betts06","9 November 2008","I have been watching this series since it came out, and thank god i taped them as i have watched each episode up to 4 times each now.Absolutely awesome series! I was sceptical at first, and it started off a little ropey but now i'm hooked. I'm up to episode 6 so far, and every episode has literally gotten better and better and better.Evry episode that has come out since the movie i have said this is the best episode so far, and thats a good thing! I believe there are meant to be a hundred or more episodes of this show? I hope thats so, and i wish i had them all right now! I would not be seen for weeks.Anakin is great in this, better than the live action films IMO. And Asoka is pretty cool too, although she got off to a bumpy start.In fact i only have a few subtle gripes, Droid voices, though i'm getting used to them. A bit short each episode, but at least it leaves me wanting more. Which is good. Lack of John Williams music throughout, and the last episode had drum n bass in it, which was bizarre and unwelcome! But still, these are only minor gripes, and I know the creators are working on making it better for series 2 according to the force-casts, so hopefully if these little gripes get fixed, the show should be perfect.Oh and as for the 2 reviews on here that are super negative, and say its not for the true fan, well, I AM THE TRUE FAN! And i like it! Sounds like a couple of nay-sayers to me, jumping on the Lucas hate bandwagon. Wouldn't surprise me if they hadn't even watched an episode of this show at all. Guess thats the internet for ya.Anyway, keep em coming! Keep em great! Adjust as necessary and Star Wars will be great once more for the next generation. And the old one.","
            10/10
            "
